 exchange_code |   symbol   | total_oi_change | total_open_interest | num_trades | oi_change_percent 
---------------+------------+-----------------+---------------------+------------+-------------------
 NSE           | IDEA       |      1343664000 |         52658340000 |       7873 |              2.55
 NSE           | NIFTY      |       568363275 |          8666490975 |     229069 |              6.56
 NSE           | YESBANK    |       414031200 |         19227696400 |       9593 |              2.15
 NSE           | SBIN       |       294438000 |         12908568000 |      15791 |              2.28
 NSE           | BANKNIFTY  |       220297840 |          1179207720 |      83707 |             18.68
 NSE           | IDFCFIRSTB |       196680000 |         17283144000 |      13019 |              1.14
 NSE           | BHEL       |       161970200 |          6126717400 |      17711 |              2.64
 NSE           | ASHOKLEY   |       147232000 |          8830896000 |      11469 |              1.67
 NSE           | GMRINFRA   |       147150000 |         12777705000 |       7313 |              1.15
 NSE           | PNB        |       119256100 |         10371077000 |      15419 |              1.15
(10 rows)

 trade_date | avg_close | rolling_7day_stddev | rolling_7day_avg | volatility_percent 
------------+-----------+---------------------+------------------+--------------------
 2019-11-15 |   1074.98 |              4.3249 |          1066.51 |               0.41
 2019-11-14 |   1065.21 |              2.2735 |          1064.86 |               0.21
 2019-11-13 |   1066.16 |              2.4770 |          1065.18 |               0.23
 2019-11-11 |   1066.58 |              2.9503 |          1065.65 |               0.28
 2019-11-08 |   1068.10 |              2.9831 |          1065.27 |               0.28
 2019-11-07 |   1061.82 |              2.8406 |          1065.12 |               0.27
 2019-11-06 |   1062.75 |              4.0512 |          1066.89 |               0.38
 2019-11-05 |   1063.44 |              4.2870 |          1068.45 |               0.40
 2019-11-04 |   1067.44 |              4.0473 |          1069.93 |               0.38
 2019-11-01 |   1069.41 |              4.6842 |          1069.36 |               0.44
 2019-10-31 |   1063.90 |              4.9966 |          1068.69 |               0.47
 2019-10-30 |   1067.06 |              4.7975 |          1068.89 |               0.45
 2019-10-29 |   1074.22 |              4.7574 |          1069.00 |               0.45
 2019-10-27 |   1073.67 |              5.1648 |          1066.97 |               0.48
 2019-10-25 |   1073.78 |              4.8201 |          1064.99 |               0.45
 2019-10-24 |   1063.46 |              2.9973 |          1063.20 |               0.28
 2019-10-23 |   1064.75 |              3.0366 |          1062.96 |               0.29
 2019-10-22 |   1065.29 |              2.9327 |          1062.66 |               0.28
 2019-10-18 |   1067.83 |              4.8294 |          1060.71 |               0.46
 2019-10-17 |   1060.04 |              4.4348 |          1058.58 |               0.42
 2019-10-16 |   1059.78 |              4.7316 |          1057.67 |               0.45
 2019-10-15 |   1061.22 |              4.7354 |          1056.96 |               0.45
 2019-10-14 |   1061.83 |              6.5936 |          1054.38 |               0.63
 2019-10-11 |   1062.66 |              6.7952 |          1051.75 |               0.65
 2019-10-10 |   1051.62 |              5.2539 |          1049.12 |               0.50
 2019-10-09 |   1052.93 |              5.2463 |          1048.30 |               0.50
 2019-10-07 |   1053.65 |             13.2508 |          1042.86 |               1.27
 2019-10-04 |   1054.81 |             16.0517 |          1037.20 |               1.55
 2019-10-03 |   1043.14 |             15.4760 |          1031.81 |               1.50
 2019-10-01 |   1043.42 |             14.6495 |          1029.84 |               1.42
(30 rows)

 exchange_code |  symbol   | contract_type | num_trades | avg_settle_price | min_settle_price | max_settle_price | total_volume | total_value_lakhs 
---------------+-----------+---------------+------------+------------------+------------------+------------------+--------------+-------------------
 NSE           | BANKNIFTY | FUTURES       |        207 |         28818.47 |         26781.85 |         31315.70 |     16040562 |       92211277.73
 NSE           | NIFTY     | FUTURES       |        207 |         11368.58 |         10711.30 |         12134.25 |     13440402 |      113795574.75
(2 rows)

 expiry_date | strike_price | option_type | num_trading_days | total_volume | total_oi | avg_premium | volume_to_oi_ratio 
-------------+--------------+-------------+------------------+--------------+----------+-------------+--------------------
 2019-08-01  |     27400.00 | PE          |                1 |         3071 |    30760 |        0.10 |               9.98
 2019-08-01  |     27500.00 | PE          |                1 |         9316 |   111560 |        0.10 |               8.35
 2019-08-01  |     27600.00 | PE          |                1 |         9502 |    21680 |        0.15 |              43.83
 2019-08-01  |     27700.00 | PE          |                1 |        30557 |    47700 |        0.15 |              64.06
 2019-08-01  |     27800.00 | PE          |                1 |        70643 |    84580 |        0.25 |              83.52
 2019-08-01  |     27900.00 | PE          |                1 |       182476 |   271220 |        0.45 |              67.28
 2019-08-01  |     28000.00 | CE          |                1 |        56017 |     1220 |      264.15 |            4591.56
 2019-08-01  |     28000.00 | PE          |                1 |       676900 |   794320 |        0.85 |              85.22
 2019-08-01  |     28100.00 | CE          |                1 |       236040 |     6060 |      167.05 |            3895.05
 2019-08-01  |     28100.00 | PE          |                1 |       928776 |   432040 |        3.25 |             214.97
 2019-08-01  |     28200.00 | CE          |                1 |       686710 |    19420 |       77.25 |            3536.10
 2019-08-01  |     28200.00 | PE          |                1 |      1589036 |   403440 |       10.70 |             393.87
 2019-08-01  |     28300.00 | CE          |                1 |      1224821 |    22520 |       22.85 |            5438.81
 2019-08-01  |     28300.00 | PE          |                1 |      2293519 |   430800 |       12.85 |             532.39
 2019-08-01  |     28400.00 | CE          |                1 |      1566672 |   810880 |        2.15 |             193.21
 2019-08-01  |     28400.00 | PE          |                1 |      2368057 |    72340 |       40.20 |            3273.51
 2019-08-01  |     28500.00 | CE          |                1 |      1698274 |   979360 |        0.70 |             173.41
 2019-08-01  |     28500.00 | PE          |                1 |      2013127 |    16060 |      159.80 |           12535.04
 2019-08-01  |     28600.00 | CE          |                1 |      1656596 |   886180 |        0.30 |             186.94
 2019-08-01  |     28600.00 | PE          |                1 |      1092808 |     5580 |      250.75 |           19584.37
 2019-08-01  |     28700.00 | CE          |                1 |      1786472 |   865680 |        0.25 |             206.37
 2019-08-01  |     28700.00 | PE          |                1 |       737113 |     3800 |      345.00 |           19397.71
 2019-08-01  |     28800.00 | CE          |                1 |      1789480 |   806180 |        0.25 |             221.97
 2019-08-01  |     28800.00 | PE          |                1 |       331539 |     5900 |      439.00 |            5619.31
 2019-08-01  |     28900.00 | CE          |                1 |      1469684 |   568040 |        0.20 |             258.73
 2019-08-01  |     28900.00 | PE          |                1 |       103721 |     1220 |      545.95 |            8501.72
 2019-08-01  |     29000.00 | CE          |                1 |      1627778 |  1177100 |        0.15 |             138.29
 2019-08-01  |     29000.00 | PE          |                1 |        70107 |     7120 |      655.05 |             984.65
 2019-08-01  |     29100.00 | CE          |                1 |      1035883 |   466480 |        0.15 |             222.06
 2019-08-01  |     29100.00 | PE          |                1 |        15315 |     1900 |      745.90 |             806.05
 2019-08-01  |     29200.00 | CE          |                1 |      1202898 |   576200 |        0.10 |             208.76
 2019-08-01  |     29200.00 | PE          |                1 |         8234 |     4520 |      825.30 |             182.17
 2019-08-01  |     29300.00 | CE          |                1 |      1060773 |   316840 |        0.10 |             334.80
 2019-08-01  |     29300.00 | PE          |                1 |         6701 |     1600 |      955.65 |             418.81
 2019-08-01  |     29400.00 | CE          |                1 |       175454 |   255180 |        0.10 |              68.76
 2019-08-01  |     29400.00 | PE          |                1 |         3827 |      860 |     1054.85 |             445.00
 2019-08-01  |     29500.00 | CE          |                1 |       145699 |   622260 |        0.15 |              23.41
 2019-08-01  |     29500.00 | PE          |                1 |         4230 |     2700 |     1134.30 |             156.67
 2019-08-01  |     29600.00 | CE          |                1 |        51886 |   254480 |        0.15 |              20.39
 2019-08-01  |     29700.00 | CE          |                1 |        27688 |   193940 |        0.10 |              14.28
 2019-08-01  |     29800.00 | CE          |                1 |        16960 |   143840 |        0.10 |              11.79
 2019-08-01  |     29900.00 | CE          |                1 |         4614 |   102160 |        0.10 |               4.52
 2019-08-01  |     30000.00 | CE          |                1 |        35367 |   301940 |        0.10 |              11.71
 2019-08-01  |     30000.00 | PE          |                1 |         1039 |     1060 |     1677.40 |              98.02
 2019-08-01  |     30100.00 | CE          |                1 |         3192 |    42440 |        0.10 |               7.52
 2019-08-01  |     30200.00 | CE          |                1 |         1530 |    30700 |        0.15 |               4.98
 2019-08-01  |     30300.00 | CE          |                1 |         3140 |    57000 |        0.10 |               5.51
 2019-08-01  |     30500.00 | CE          |                1 |         3473 |    84880 |        0.10 |               4.09
 2019-08-01  |     30500.00 | PE          |                1 |         1045 |     1260 |     2121.55 |              82.94
 2019-08-01  |     32200.00 | CE          |                1 |         9007 |       40 |        0.05 |           22517.50
 2019-08-01  |     32600.00 | CE          |                1 |         3501 |       20 |        0.05 |           17505.00
 2019-08-01  |     32700.00 | CE          |                1 |         4000 |        0 |        0.10 |                   
 2019-08-01  |     32900.00 | CE          |                1 |         2921 |      100 |        0.05 |            2921.00
 2019-08-01  |     33000.00 | CE          |                1 |         1015 |      200 |        0.10 |             507.50
 2019-08-08  |     26000.00 | PE          |                3 |        23873 |   263160 |        2.33 |               9.07
 2019-08-08  |     26100.00 | PE          |                3 |         1926 |     6740 |        2.82 |              28.58
 2019-08-08  |     26200.00 | PE          |                3 |         6417 |    36820 |        2.90 |              17.43
 2019-08-08  |     26300.00 | PE          |                3 |        15000 |    78360 |        3.40 |              19.14
 2019-08-08  |     26400.00 | PE          |                3 |        19497 |    38640 |        4.47 |              50.46
 2019-08-08  |     26500.00 | PE          |                3 |        98303 |   235880 |        5.37 |              41.68
 2019-08-08  |     26600.00 | PE          |                4 |       304743 |   766480 |       16.90 |              39.76
 2019-08-08  |     26700.00 | PE          |                4 |       181659 |   245440 |       19.34 |              74.01
 2019-08-08  |     26800.00 | PE          |                5 |       597521 |  1148460 |       23.18 |              52.03
 2019-08-08  |     26900.00 | PE          |                5 |       482770 |   594400 |       28.23 |              81.22
 2019-08-08  |     27000.00 | CE          |                5 |         6580 |    27480 |      996.84 |              23.94
 2019-08-08  |     27000.00 | PE          |                5 |      1882058 |  2139560 |       33.91 |              87.96
 2019-08-08  |     27100.00 | PE          |                5 |       882346 |   561380 |       40.74 |             157.17
 2019-08-08  |     27200.00 | CE          |                6 |         2635 |     5520 |      846.86 |              47.74
 2019-08-08  |     27200.00 | PE          |                6 |      1707179 |  1311420 |       46.54 |             130.18
 2019-08-08  |     27300.00 | CE          |                6 |        12701 |     8520 |      873.27 |             149.07
 2019-08-08  |     27300.00 | PE          |                6 |      2125691 |  1127140 |       56.11 |             188.59
 2019-08-08  |     27400.00 | CE          |                6 |        60878 |    33120 |      775.86 |             183.81
 2019-08-08  |     27400.00 | PE          |                6 |      2618250 |  1272640 |       67.62 |             205.73
 2019-08-08  |     27500.00 | CE          |                6 |       342917 |   296400 |      611.55 |             115.69
 2019-08-08  |     27500.00 | PE          |                6 |      4427873 |  2627680 |       83.50 |             168.51
 2019-08-08  |     27600.00 | CE          |                6 |       802883 |   129420 |      650.46 |             620.37
 2019-08-08  |     27600.00 | PE          |                6 |      3031477 |  1353200 |      100.85 |             224.02
 2019-08-08  |     27700.00 | CE          |                6 |      1589656 |   296300 |      453.58 |             536.50
 2019-08-08  |     27700.00 | PE          |                6 |      2882443 |  1211420 |      123.98 |             237.94
 2019-08-08  |     27800.00 | CE          |                6 |      2580933 |   493600 |      380.56 |             522.88
 2019-08-08  |     27800.00 | PE          |                6 |      2585066 |  1152240 |      149.28 |             224.35
 2019-08-08  |     27900.00 | CE          |                6 |      3094960 |   548160 |      299.57 |             564.61
 2019-08-08  |     27900.00 | PE          |                6 |      1783113 |  1084100 |      180.59 |             164.48
 2019-08-08  |     28000.00 | CE          |                6 |      5421961 |  1762400 |      248.30 |             307.65
 2019-08-08  |     28000.00 | PE          |                6 |      2206971 |  1848940 |      220.18 |             119.36
 2019-08-08  |     28100.00 | CE          |                6 |      3596386 |  1290180 |      197.73 |             278.75
 2019-08-08  |     28100.00 | PE          |                6 |       807728 |   542060 |      266.77 |             149.01
 2019-08-08  |     28200.00 | CE          |                6 |      3251169 |  2080620 |      164.77 |             156.26
 2019-08-08  |     28200.00 | PE          |                6 |       410746 |   246340 |      327.32 |             166.74
 2019-08-08  |     28300.00 | CE          |                6 |      2658084 |  1705020 |      135.50 |             155.90
 2019-08-08  |     28300.00 | PE          |                6 |       221712 |   210700 |      397.03 |             105.23
 2019-08-08  |     28400.00 | CE          |                6 |      2329437 |  1396960 |      112.49 |             166.75
 2019-08-08  |     28400.00 | PE          |                6 |       125462 |   134400 |      467.17 |              93.35
 2019-08-08  |     28500.00 | CE          |                6 |      4699919 |  3210660 |       91.44 |             146.38
 2019-08-08  |     28500.00 | PE          |                6 |       171808 |   332900 |      542.18 |              51.61
 2019-08-08  |     28600.00 | CE          |                6 |      1278576 |  1192780 |       73.70 |             107.19
 2019-08-08  |     28600.00 | PE          |                6 |        46591 |    64620 |      628.46 |              72.10
 2019-08-08  |     28700.00 | CE          |                6 |      1058150 |   899160 |       58.90 |             117.68
 2019-08-08  |     28700.00 | PE          |                6 |        30645 |    92260 |      717.94 |              33.22
 2019-08-08  |     28800.00 | CE          |                6 |       918153 |  1160680 |       46.71 |              79.10
 2019-08-08  |     28800.00 | PE          |                6 |        20490 |    63060 |      790.21 |              32.49
 2019-08-08  |     28900.00 | CE          |                6 |       686103 |   766040 |       36.77 |              89.56
 2019-08-08  |     28900.00 | PE          |                6 |         3261 |    20880 |      890.73 |              15.62
 2019-08-08  |     29000.00 | CE          |                6 |      1307586 |  3197780 |       29.04 |              40.89
 2019-08-08  |     29000.00 | PE          |                6 |        16466 |   146380 |      985.20 |              11.25
 2019-08-08  |     29100.00 | CE          |                6 |       403119 |   627040 |       22.27 |              64.29
 2019-08-08  |     29200.00 | CE          |                6 |       385343 |   832140 |       16.90 |              46.31
 2019-08-08  |     29300.00 | CE          |                6 |       258884 |   678620 |       12.63 |              38.15
 2019-08-08  |     29300.00 | PE          |                6 |         1041 |    22860 |     1246.72 |               4.55
 2019-08-08  |     29400.00 | CE          |                6 |       199617 |   623360 |        9.94 |              32.02
 2019-08-08  |     29500.00 | CE          |                6 |       399079 |  1696740 |        8.07 |              23.52
 2019-08-08  |     29500.00 | PE          |                6 |         4320 |    99640 |     1448.95 |               4.34
 2019-08-08  |     29600.00 | CE          |                6 |       121094 |   262000 |        6.40 |              46.22
 2019-08-08  |     29700.00 | CE          |                6 |        89800 |   266580 |        5.05 |              33.69
 2019-08-08  |     29800.00 | CE          |                6 |        88739 |   203340 |        4.45 |              43.64
 2019-08-08  |     29900.00 | CE          |                6 |        60314 |   137260 |        3.85 |              43.94
 2019-08-08  |     30000.00 | CE          |                6 |       160946 |  1182440 |        3.33 |              13.61
 2019-08-08  |     30100.00 | CE          |                6 |        13826 |   103940 |        2.51 |              13.30
 2019-08-08  |     30200.00 | CE          |                6 |        11955 |   132200 |        2.15 |               9.04
 2019-08-08  |     30200.00 | PE          |                6 |         2218 |    71680 |     2145.28 |               3.09
 2019-08-08  |     30300.00 | CE          |                6 |         2720 |    27020 |        2.36 |              10.07
 2019-08-08  |     30400.00 | CE          |                6 |         3998 |    96920 |        2.30 |               4.13
 2019-08-08  |     30500.00 | CE          |                6 |        17189 |   439920 |        1.93 |               3.91
 2019-08-08  |     30500.00 | PE          |                6 |         2617 |    71700 |     2434.36 |               3.65
 2019-08-08  |     31000.00 | CE          |                6 |         1715 |    46640 |        1.52 |               3.68
 2019-08-08  |     31600.00 | CE          |                6 |        10567 |      240 |      586.09 |            4402.92
 2019-08-08  |     31700.00 | CE          |                6 |        39039 |      360 |      564.81 |           10844.17
 2019-08-08  |     31800.00 | CE          |                6 |        13075 |      400 |      363.93 |            3268.75
 2019-08-08  |     31900.00 | CE          |                6 |        79179 |     1360 |      349.94 |            5821.99
 2019-08-08  |     32400.00 | CE          |                6 |        37590 |      480 |      144.65 |            7831.25
 2019-08-08  |     32500.00 | CE          |                6 |        45551 |     1060 |      138.98 |            4297.26
 2019-08-08  |     32600.00 | CE          |                6 |         2513 |      240 |      135.08 |            1047.08
 2019-08-08  |     32700.00 | CE          |                6 |        25137 |      380 |      129.79 |            6615.00
 2019-08-08  |     32800.00 | CE          |                6 |         6343 |      180 |      122.44 |            3523.89
 2019-08-08  |     32900.00 | CE          |                6 |         1701 |        0 |      580.56 |                   
 2019-08-08  |     33000.00 | CE          |                6 |        21601 |     1340 |        1.03 |            1612.01
 2019-08-08  |     33100.00 | CE          |                6 |        29311 |     6860 |        0.98 |             427.27
 2019-08-14  |     26000.00 | PE          |                6 |        38851 |   442220 |        8.94 |               8.79
 2019-08-14  |     26100.00 | PE          |                6 |         1562 |    11240 |        6.61 |              13.90
 2019-08-14  |     26200.00 | PE          |                6 |         1919 |     7040 |        7.70 |              27.26
 2019-08-14  |     26300.00 | PE          |                6 |         3302 |    16320 |        9.45 |              20.23
 2019-08-14  |     26400.00 | PE          |                6 |         4529 |    25500 |       13.67 |              17.76
 2019-08-14  |     26500.00 | PE          |                6 |        64569 |   272500 |       17.05 |              23.70
 2019-08-14  |     26600.00 | PE          |                7 |        25511 |    72240 |       26.62 |              35.31
 2019-08-14  |     26700.00 | PE          |                7 |        31254 |    72200 |       18.09 |              43.29
 2019-08-14  |     26800.00 | PE          |                8 |        63530 |   154000 |       46.70 |              41.25
 2019-08-14  |     26900.00 | PE          |                8 |       104346 |   309000 |       48.99 |              33.77
 2019-08-14  |     27000.00 | CE          |                8 |         1184 |     7680 |     1071.70 |              15.42
 2019-08-14  |     27000.00 | PE          |                8 |      1520308 |  1231000 |       58.22 |             123.50
 2019-08-14  |     27100.00 | PE          |                8 |       285631 |   296580 |       62.78 |              96.31
 2019-08-14  |     27200.00 | PE          |                9 |       800311 |   573220 |       66.26 |             139.62
 2019-08-14  |     27300.00 | CE          |                9 |         1652 |     1900 |     1050.18 |              86.95
 2019-08-14  |     27300.00 | PE          |                9 |       802865 |   595340 |       78.06 |             134.86
 2019-08-14  |     27400.00 | CE          |                9 |         3006 |     3460 |      907.60 |              86.88
 2019-08-14  |     27400.00 | PE          |                9 |       952555 |   661480 |       99.34 |             144.00
 2019-08-14  |     27500.00 | CE          |                9 |        37904 |    65920 |      854.45 |              57.50
 2019-08-14  |     27500.00 | PE          |                9 |      2005400 |  1857300 |      119.40 |             107.97
 2019-08-14  |     27600.00 | CE          |                9 |        60674 |    43640 |      773.75 |             139.03
 2019-08-14  |     27600.00 | PE          |                9 |      1621978 |   971160 |      140.62 |             167.01
 2019-08-14  |     27700.00 | CE          |                9 |       220324 |   164040 |      734.03 |             134.31
 2019-08-14  |     27700.00 | PE          |                9 |      2083003 |  1061140 |      164.52 |             196.30
 2019-08-14  |     27800.00 | CE          |                9 |       625701 |   328340 |      663.14 |             190.56
 2019-08-14  |     27800.00 | PE          |                9 |      2426102 |  1318000 |      190.28 |             184.07
 2019-08-14  |     27900.00 | CE          |                9 |       961119 |   313920 |      594.48 |             306.17
 2019-08-14  |     27900.00 | PE          |                9 |      2194060 |  1088720 |      221.94 |             201.53
 2019-08-14  |     28000.00 | CE          |                9 |      3089905 |  1309720 |      421.22 |             235.92
